ADC, mV 1000OhmOutput1000_Ohm_noor 
79.000000, 35.000000
79.000000, 35.000000
78.000000, 35.000000
79.000000, 35.000000
79.000000, 35.000000
79.000000, 35.000000
79.000000, 35.000000
79.000000, 35.000000
79.000000, 35.000000
78.000000, 35.000000
99.000000, 40.000000
99.000000, 40.000000
98.000000, 40.000000
99.000000, 40.000000
99.000000, 40.000000
99.000000, 40.000000
96.000000, 40.000000
97.000000, 40.000000
97.000000, 40.000000
97.000000, 40.000000
121.000000, 45.000000
115.000000, 45.000000
120.000000, 45.000000
124.000000, 45.000000
121.000000, 45.000000
120.000000, 45.000000
120.000000, 45.000000
121.000000, 45.000000
120.000000, 45.000000
120.000000, 45.000000
147.000000, 50.000000
152.000000, 50.000000
152.000000, 50.000000
146.000000, 50.000000
152.000000, 50.000000
152.000000, 50.000000
152.000000, 50.000000
152.000000, 50.000000
152.000000, 50.000000
152.000000, 50.000000
176.000000, 55.000000
167.000000, 55.000000
176.000000, 55.000000
176.000000, 55.000000
172.000000, 55.000000
176.000000, 55.000000
174.000000, 55.000000
176.000000, 55.000000
177.000000, 55.000000
176.000000, 55.000000
195.000000, 60.000000
199.000000, 60.000000
195.000000, 60.000000
192.000000, 60.000000
195.000000, 60.000000
185.000000, 60.000000
197.000000, 60.000000
192.000000, 60.000000
195.000000, 60.000000
193.000000, 60.000000
216.000000, 65.000000
211.000000, 65.000000
211.000000, 65.000000
216.000000, 65.000000
211.000000, 65.000000
216.000000, 65.000000
211.000000, 65.000000
211.000000, 65.000000
216.000000, 65.000000
211.000000, 65.000000
236.000000, 70.000000
231.000000, 70.000000
236.000000, 70.000000
231.000000, 70.000000
234.000000, 70.000000
231.000000, 70.000000
238.000000, 70.000000
231.000000, 70.000000
236.000000, 70.000000
231.000000, 70.000000
255.000000, 75.000000
254.000000, 75.000000
255.000000, 75.000000
252.000000, 75.000000
252.000000, 75.000000
252.000000, 75.000000
255.000000, 75.000000
254.000000, 75.000000
243.000000, 75.000000
252.000000, 75.000000
268.000000, 80.000000
271.000000, 80.000000
268.000000, 80.000000
273.000000, 80.000000
270.000000, 80.000000
270.000000, 80.000000
268.000000, 80.000000
270.000000, 80.000000
269.000000, 80.000000
271.000000, 80.000000
286.000000, 85.000000
287.000000, 85.000000
284.000000, 85.000000
281.000000, 85.000000
287.000000, 85.000000
284.000000, 85.000000
287.000000, 85.000000
287.000000, 85.000000
284.000000, 85.000000
287.000000, 85.000000
306.000000, 90.000000
300.000000, 90.000000
300.000000, 90.000000
300.000000, 90.000000
304.000000, 90.000000
300.000000, 90.000000
300.000000, 90.000000
304.000000, 90.000000
300.000000, 90.000000
305.000000, 90.000000
316.000000, 95.000000
313.000000, 95.000000
316.000000, 95.000000
319.000000, 95.000000
312.000000, 95.000000
313.000000, 95.000000
312.000000, 95.000000
313.000000, 95.000000
316.000000, 95.000000
318.000000, 95.000000
319.000000, 100.000000
319.000000, 100.000000
319.000000, 100.000000
323.000000, 100.000000
323.000000, 100.000000
319.000000, 100.000000
323.000000, 100.000000
323.000000, 100.000000
319.000000, 100.000000
319.000000, 100.000000
344.000000, 105.000000
335.000000, 105.000000
335.000000, 105.000000
338.000000, 105.000000
339.000000, 105.000000
339.000000, 105.000000
344.000000, 105.000000
339.000000, 105.000000
344.000000, 105.000000
339.000000, 105.000000
355.000000, 110.000000
352.000000, 110.000000
352.000000, 110.000000
352.000000, 110.000000
352.000000, 110.000000
355.000000, 110.000000
352.000000, 110.000000
353.000000, 110.000000
352.000000, 110.000000
355.000000, 110.000000
364.000000, 115.000000
359.000000, 115.000000
359.000000, 115.000000
368.000000, 115.000000
359.000000, 115.000000
366.000000, 115.000000
364.000000, 115.000000
368.000000, 115.000000
369.000000, 115.000000
366.000000, 115.000000
368.000000, 120.000000
377.000000, 120.000000
377.000000, 120.000000
376.000000, 120.000000
384.000000, 120.000000
376.000000, 120.000000
376.000000, 120.000000
377.000000, 120.000000
384.000000, 120.000000
376.000000, 120.000000
386.000000, 125.000000
387.000000, 125.000000
391.000000, 125.000000
386.000000, 125.000000
391.000000, 125.000000
391.000000, 125.000000
391.000000, 125.000000
390.000000, 125.000000
386.000000, 125.000000
384.000000, 125.000000
399.000000, 130.000000
393.000000, 130.000000
399.000000, 130.000000
396.000000, 130.000000
402.000000, 130.000000
403.000000, 130.000000
399.000000, 130.000000
408.000000, 130.000000
396.000000, 130.000000
396.000000, 130.000000
412.000000, 135.000000
409.000000, 135.000000
412.000000, 135.000000
414.000000, 135.000000
408.000000, 135.000000
414.000000, 135.000000
408.000000, 135.000000
414.000000, 135.000000
408.000000, 135.000000
408.000000, 135.000000
422.000000, 140.000000
423.000000, 140.000000
419.000000, 140.000000
415.000000, 140.000000
415.000000, 140.000000
419.000000, 140.000000
415.000000, 140.000000
423.000000, 140.000000
415.000000, 140.000000
415.000000, 140.000000
423.000000, 145.000000
432.000000, 145.000000
432.000000, 145.000000
432.000000, 145.000000
423.000000, 145.000000
433.000000, 145.000000
423.000000, 145.000000
428.000000, 145.000000
430.000000, 145.000000
432.000000, 145.000000
432.000000, 150.000000
440.000000, 150.000000
432.000000, 150.000000
432.000000, 150.000000
441.000000, 150.000000
435.000000, 150.000000
440.000000, 150.000000
435.000000, 150.000000
440.000000, 150.000000
435.000000, 150.000000
441.000000, 155.000000
441.000000, 155.000000
448.000000, 155.000000
448.000000, 155.000000
449.000000, 155.000000
440.000000, 155.000000
448.000000, 155.000000
448.000000, 155.000000
441.000000, 155.000000
448.000000, 155.000000
451.000000, 160.000000
454.000000, 160.000000
451.000000, 160.000000
451.000000, 160.000000
448.000000, 160.000000
448.000000, 160.000000
448.000000, 160.000000
454.000000, 160.000000
448.000000, 160.000000
450.000000, 160.000000
455.000000, 165.000000
463.000000, 165.000000
463.000000, 165.000000
457.000000, 165.000000
460.000000, 165.000000
462.000000, 165.000000
463.000000, 165.000000
460.000000, 165.000000
457.000000, 165.000000
463.000000, 165.000000
463.000000, 170.000000
472.000000, 170.000000
463.000000, 170.000000
467.000000, 170.000000
472.000000, 170.000000
463.000000, 170.000000
463.000000, 170.000000
472.000000, 170.000000
472.000000, 170.000000
465.000000, 170.000000
473.000000, 175.000000
476.000000, 175.000000
480.000000, 175.000000
478.000000, 175.000000
476.000000, 175.000000
480.000000, 175.000000
478.000000, 175.000000
480.000000, 175.000000
480.000000, 175.000000
472.000000, 175.000000
485.000000, 180.000000
483.000000, 180.000000
478.000000, 180.000000
485.000000, 180.000000
487.000000, 180.000000
480.000000, 180.000000
483.000000, 180.000000
480.000000, 180.000000
485.000000, 180.000000
483.000000, 180.000000
487.000000, 185.000000
489.000000, 185.000000
486.000000, 185.000000
492.000000, 185.000000
492.000000, 185.000000
