# Calibration raw adc with signal threshold 50
255
97
57
49
96
Time [s], ADC 
6.627535104751587, 508 
17.030710458755493, 97 
17.533260107040405, 440 
55.48924422264099, 92 
87.86742448806763, 68 
88.99072813987732, 236 
99.72097992897034, 120 
110.03715419769287, 204 
123.63972282409668, 386 
127.151686668396, 249 
137.72439980506897, 263 
142.59553050994873, 67 
158.1401138305664, 409 
192.53801774978638, 352 
193.71243143081665, 71 
204.79195642471313, 504 
230.2971315383911, 71 
232.73907995224, 67 
237.54339790344238, 172 
287.9748361110687, 236 
291.4682912826538, 49 
301.51376152038574, 199 
329.0901458263397, 118 
343.7760181427002, 451 
348.31901383399963, 391 
351.9501419067383, 127 
382.9527814388275, 63 
397.81211590766907, 408 
407.9889500141144, 51 
412.9162631034851, 352 
447.2149615287781, 319 
457.18479919433594, 147 
460.049040555954, 255 
496.4632396697998, 217 
499.4845070838928, 428 
508.2890646457672, 62 
513.2893724441528, 540 
523.2624475955963, 167 
524.8312478065491, 195 
565.5954523086548, 319 
567.776121377945, 96 
576.5260398387909, 344 
578.5705456733704, 462 
580.6044561862946, 163 
583.3280959129333, 73 
610.4196965694427, 82 
619.4254019260406, 83 
623.023875951767, 275 
628.6095321178436, 63 
672.8524379730225, 359 
675.666841506958, 69 
740.2186114788055, 143 
742.2869021892548, 184 
762.0566968917847, 408 
787.9325840473175, 49 
790.1697986125946, 101 
795.1735639572144, 440 
829.2370393276215, 467 
841.4385039806366, 56 
863.5447509288788, 57 
876.1667423248291, 60 
882.4297685623169, 163 
909.9592366218567, 454 
932.6706919670105, 115 
949.0332219600677, 77 
963.8184032440186, 99 
976.631472826004, 76 
1007.4093201160431, 408 
1016.9084885120392, 60 
1018.2758240699768, 62 
1032.5597858428955, 332 
1058.0792019367218, 440 
1081.717321395874, 88 
1103.6171202659607, 504 
1104.117464542389, 63 
1155.0195162296295, 263 
1157.3386480808258, 280 
1171.25861287117, 199 
1190.4709692001343, 531 
1206.2883791923523, 79 
1215.9158835411072, 56 
1223.392558813095, 135 
1229.8798055648804, 286 
1236.4742276668549, 97 
1268.5383973121643, 206 
1272.8985815048218, 166 
1280.8364675045013, 62 
1282.455046415329, 56 
1289.380538702011, 357 
1293.4666311740875, 63 
1296.9698429107666, 387 
1350.1057448387146, 88 
1358.7714035511017, 141 
1414.9822237491608, 67 
1431.5636341571808, 159 
1442.6026396751404, 156 
1463.1202640533447, 147 
1463.6205124855042, 192 
1485.551054239273, 71 
1498.9321281909943, 127 
1507.6812989711761, 113 
1526.1865420341492, 426 
1544.1425409317017, 339 
1567.511897802353, 83 
1572.9140470027924, 71 
1584.78129196167, 396 
1585.2814846038818, 70 
1633.0579733848572, 99 
1636.358603477478, 103 
