# Calibration raw adc with signal threshold 50 
Time [s], ADC 
1.3971400260925293, 300 
5.783838510513306, 82 
28.776631832122803, 71 
33.99050855636597, 327 
37.857150077819824, 115 
38.45281267166138, 319 
39.095667600631714, 419 
45.1156370639801, 176 
71.42389869689941, 57 
83.87987017631531, 248 
98.91551876068115, 304 
99.73915266990662, 62 
111.87278771400452, 88 
113.69266057014465, 415 
114.19330787658691, 371 
117.58136034011841, 428 
125.75874829292297, 56 
129.39015364646912, 89 
142.02192187309265, 240 
160.91686844825745, 146 
173.23295974731445, 193 
175.26205778121948, 135 
177.5001962184906, 135 
181.3393533229828, 103 
183.75274753570557, 89 
188.13866090774536, 99 
188.63932967185974, 312 
210.3627369403839, 220 
216.74959087371826, 423 
217.25021648406982, 70 
221.83634448051453, 60 
239.64832592010498, 143 
240.14899015426636, 63 
245.82056736946106, 66 
247.6479868888855, 188 
259.88924765586853, 131 
273.3143849372864, 79 
283.85416746139526, 211 
290.7675287723541, 415 
294.3453688621521, 79 
299.06521105766296, 89 
302.21968269348145, 63 
304.1299829483032, 243 
304.6306414604187, 134 
342.66062927246094, 287 
363.3882966041565, 83 
382.96819591522217, 62 
388.1015055179596, 115 
412.0282256603241, 51 
424.4950087070465, 287 
431.6579830646515, 83 
438.82435846328735, 435 
472.6268174648285, 384 
475.54271602630615, 113 
486.9089889526367, 293 
506.37145256996155, 408 
513.9359266757965, 81 
515.4490139484406, 126 
518.2713057994843, 176 
519.7005305290222, 67 
529.7998733520508, 344 
530.3976490497589, 108 
543.9541611671448, 63 
545.0868835449219, 97 
551.1198270320892, 56 
563.1063950061798, 71 
575.0842127799988, 82 
588.3393740653992, 71 
588.921847820282, 79 
589.422221660614, 60 
589.9373781681061, 63 
591.1349575519562, 238 
595.1520040035248, 359 
605.4116659164429, 207 
607.0822207927704, 159 
619.771237373352, 252 
625.2971749305725, 56 
627.849179983139, 56 
633.9796998500824, 304 
645.5930306911469, 78 
669.9116072654724, 496 
676.5974299907684, 49 
690.2318489551544, 352 
711.0038313865662, 472 
712.8207776546478, 67 
737.6575706005096, 88 
757.7814574241638, 70 
758.3791749477386, 172 
777.9026296138763, 131 
778.4228870868683, 364 
782.0881476402283, 159 
783.96067237854, 56 
800.6814179420471, 57 
812.2136340141296, 172 
812.8136534690857, 387 
816.8610112667084, 76 
834.2307879924774, 255 
852.8383302688599, 177 
856.9588301181793, 97 
860.7842676639557, 109 
865.5788199901581, 312 
866.5004286766052, 60 
877.6901757717133, 57 
885.6286811828613, 56 
