# Calibration raw adc with signal threshold 50
166
Time [s], ADC 
7.434878349304199, 57 
17.861694812774658, 327 
18.362391471862793, 102 
34.838311433792114, 92 
43.05503439903259, 57 
45.047595262527466, 57 
47.53511190414429, 70 
53.47038006782532, 63 
68.32760119438171, 57 
72.67908310890198, 78 
78.21107149124146, 113 
81.88044929504395, 222 
87.38689851760864, 147 
88.12769865989685, 236 
88.82705593109131, 81 
104.90253686904907, 71 
107.09084463119507, 376 
123.24855971336365, 96 
124.22103357315063, 352 
126.97534108161926, 691 
133.01436376571655, 49 
134.3952512741089, 96 
143.64143824577332, 60 
145.51780796051025, 217 
147.18274879455566, 71 
152.5038766860962, 408 
157.8732132911682, 217 
158.69105052947998, 57 
184.62595343589783, 60 
191.49541568756104, 204 
194.56631660461426, 56 
198.00256180763245, 472 
208.73853015899658, 62 
219.1626844406128, 280 
234.28760170936584, 67 
241.89921474456787, 195 
244.8651828765869, 158 
251.75710153579712, 99 
253.50392532348633, 63 
255.7491466999054, 63 
265.1436667442322, 472 
278.68463253974915, 135 
303.7402138710022, 142 
305.0512764453888, 280 
308.11488676071167, 56 
316.9000675678253, 96 
318.8890414237976, 78 
322.88488268852234, 126 
337.23358941078186, 124 
346.0073289871216, 51 
351.06430220603943, 108 
355.2677161693573, 126 
357.4253771305084, 290 
368.5443961620331, 193 
370.22245717048645, 62 
377.6110234260559, 152 
384.7764675617218, 76 
389.7268714904785, 89 
390.80005264282227, 352 
406.9266402721405, 238 
408.48071479797363, 120 
423.3903183937073, 92 
427.0052664279938, 71 
429.27611017227173, 124 
433.0505769252777, 460 
436.3645119667053, 63 
447.95498728752136, 209 
460.5702223777771, 163 
461.35800075531006, 105 
470.5166265964508, 60 
473.8006899356842, 60 
479.75069880485535, 50 
493.98425817489624, 252 
500.9163920879364, 159 
501.4170527458191, 207 
502.4179644584656, 92 
525.8879899978638, 57 
526.3886098861694, 73 
527.2856049537659, 339 
537.663916349411, 71 
549.5076625347137, 96 
599.3353924751282, 192 
602.720424413681, 60 
618.3312282562256, 480 
622.0232746601105, 287 
637.2014718055725, 67 
648.6564044952393, 103 
658.3426239490509, 103 
658.8432903289795, 67 
664.8764243125916, 359 
682.1119849681854, 67 
686.0052154064178, 60 
701.7387149333954, 74 
730.0884072780609, 348 
738.8716311454773, 304 
757.1943130493164, 158 
759.2969107627869, 63 
763.2134037017822, 98 
772.7640335559845, 435 
791.4288470745087, 204 
812.782927274704, 192 
836.2413909435272, 67 
838.2896945476532, 184 
847.6819884777069, 135 
848.1825613975525, 71 
857.1340491771698, 70 
866.6015229225159, 291 
875.5252683162689, 63 
880.2841191291809, 78 
891.820294380188, 364 
895.0600304603577, 188 
902.7161610126495, 556 
909.7872259616852, 63 
913.2695455551147, 125 
925.4592106342316, 56 
927.6537890434265, 327 
932.3318200111389, 67 
967.8884236812592, 425 
968.6086163520813, 518 
972.9092087745667, 131 
978.689359664917, 281 
987.714396238327, 127 
993.7335774898529, 57 
995.6609992980957, 103 
1002.309103012085, 92 
1032.6659307479858, 62 
1049.5911121368408, 61 
1065.1313421726227, 76 
