# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 611 611 Franko
1 0 0 0 0 0 197 197 Cecile
2 0 0 0 0 0 213 213 rens

0 0 0 0 0 0 612 612 Franko
1 0 0 0 0 0 204 204 Niels
2 0 0 0 0 0 197 197 Noor

0 0 0 0 0 0 613 613 Franko
1 0 0 0 0 0 212 212 CarloCosmicWatch
2 0 0 0 0 0 203 203 ZenBenMaster

0 0 0 0 0 0 614 614 Franko
1 0 0 0 0 0 213 213 CarloCosmicWatch
2 0 0 0 0 0 198 198 Noor

0 0 0 0 0 0 615 615 Franko
1 0 0 0 0 0 198 198 Cecile
2 0 0 0 0 0 199 199 Noor

