# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 486 486 Franko
1 0 0 0 0 0 156 156 CarloCosmicWatch
2 0 0 0 0 0 160 160 rens

0 0 0 0 0 0 487 487 Franko
1 0 0 0 0 0 167 167 Cecile
2 0 0 0 0 0 162 162 Noor

0 0 0 0 0 0 488 488 Franko
1 0 0 0 0 0 157 157 CarloCosmicWatch
2 0 0 0 0 0 163 163 Noor

0 0 0 0 0 0 489 489 Franko
1 0 0 0 0 0 165 165 Niels
2 0 0 0 0 0 161 161 rens

0 0 0 0 0 0 490 490 Franko
1 0 0 0 0 0 166 166 Niels
2 0 0 0 0 0 166 166 ZenBenMaster

