# layer adc volt temp timediff time detector_muon_count detector_count detector_name
0 0 0 0 0 0 126 126 Franko
1 0 0 0 0 0 48 48 CarloCosmicWatch
2 0 0 0 0 0 51 51 rens

0 0 0 0 0 0 127 127 Franko
1 0 0 0 0 0 49 49 CarloCosmicWatch
2 0 0 0 0 0 43 43 Noor

0 0 0 0 0 0 128 128 Franko
1 0 0 0 0 0 50 50 CarloCosmicWatch
2 0 0 0 0 0 34 34 ZenBenMaster

0 0 0 0 0 0 129 129 Franko
1 0 0 0 0 0 51 51 CarloCosmicWatch
2 0 0 0 0 0 52 52 rens

0 0 0 0 0 0 130 130 Franko
1 0 0 0 0 0 52 52 CarloCosmicWatch
2 0 0 0 0 0 35 35 ZenBenMaster

